epoch,loss,lr
0,0.48789943155965637,0.00010000000000000002
1,0.3298508830102427,0.00010000000000000002
2,0.2901104581276221,0.00010000000000000002
3,0.2508985686914197,0.00010000000000000002
4,0.16655806882772595,0.00010000000000000002
5,0.13211818019127738,0.00010000000000000002
6,0.14140900740167126,0.00010000000000000002
7,0.1199330546643718,0.00010000000000000002
8,0.10664340166341779,0.00010000000000000002
9,0.048309017380233854,0.00010000000000000002
10,0.0704573675166882,0.00010000000000000002
11,0.053444246990589556,0.00010000000000000002
12,0.12572565937381505,0.00010000000000000002
13,0.09370297116609956,0.00010000000000000002
14,0.060034319445549045,0.00010000000000000002
15,0.020285034654911476,1e-05
16,0.01699507436922951,1e-05
17,0.014702182908409408,1e-05
18,0.016279121380648576,1e-05
19,0.010363886925292068,1e-05
20,0.010988261601804489,1e-05
21,0.007630979775525962,1e-05
22,0.010110737805371172,1e-05
23,0.007802387324980893,1e-05
24,0.007609277276164253,1e-05
25,0.008065374698760154,1e-05
26,0.006372198336924027,1e-05
27,0.006005114265073124,1e-05
28,0.006950254760678425,1e-05
29,0.006517834837723058,1e-05
30,0.0049342451926869604,1.0000000000000004e-06
31,0.0054050940472474655,1.0000000000000004e-06
32,0.005758383978640528,1.0000000000000004e-06
33,0.006021151344923835,1.0000000000000004e-06
34,0.005855327910571109,1.0000000000000004e-06
35,0.0048681695280330525,1.0000000000000004e-06
36,0.006156191235848902,1.0000000000000004e-06
37,0.005219873948954045,1.0000000000000004e-06
38,0.004236085886909028,1.0000000000000004e-06
39,0.0062939686756830525,1.0000000000000004e-06
40,0.005516248607351112,1.0000000000000004e-06
41,0.004515856531673177,1.0000000000000004e-06
42,0.003859237499221178,1.0000000000000004e-06
43,0.004523059532376855,1.0000000000000004e-06
44,0.005230291806947207,1.0000000000000004e-06
45,0.004469232416678486,1.0000000000000001e-07
46,0.005465762886368404,1.0000000000000001e-07
47,0.005765677994557856,1.0000000000000001e-07
48,0.004554727067755136,1.0000000000000001e-07
49,0.005315440098014993,1.0000000000000001e-07
50,0.004060431388331511,1.0000000000000001e-07
51,0.004529124111858047,1.0000000000000001e-07
52,0.0043903222193746065,1.0000000000000001e-07
53,0.005352481598362958,1.0000000000000001e-07
54,0.004742563546044819,1.0000000000000001e-07
55,0.005176236562173082,1.0000000000000001e-07
56,0.003977159199244592,1.0000000000000001e-07
57,0.004156827698118702,1.0000000000000001e-07
58,0.004989400887591598,1.0000000000000001e-07
59,0.004231333412358903,1.0000000000000001e-07
60,0.0053942379690332535,1.0000000000000004e-08
61,0.005044467748458763,1.0000000000000004e-08
62,0.005378951377185461,1.0000000000000004e-08
63,0.0052521181234624235,1.0000000000000004e-08
64,0.00439215111712526,1.0000000000000004e-08
65,0.004499652167630432,1.0000000000000004e-08
66,0.004122474312316627,1.0000000000000004e-08
67,0.004951099675963633,1.0000000000000004e-08
68,0.004775210361133629,1.0000000000000004e-08
69,0.004339754395810555,1.0000000000000004e-08
70,0.005324183531774907,1.0000000000000004e-08
71,0.005547798816613587,1.0000000000000004e-08
72,0.004768979407630727,1.0000000000000004e-08
73,0.003864603935133865,1.0000000000000004e-08
74,0.00458141250861185,1.0000000000000004e-08
75,0.0046626747609739795,1.0000000000000005e-09
76,0.005520454975339817,1.0000000000000005e-09
77,0.004140714294408099,1.0000000000000005e-09
78,0.004668580187093799,1.0000000000000005e-09
79,0.0035596568155077486,1.0000000000000005e-09
80,0.004331550034164268,1.0000000000000005e-09
81,0.0037759056853766586,1.0000000000000005e-09
82,0.004907902540955027,1.0000000000000005e-09
83,0.004879867459385423,1.0000000000000005e-09
84,0.004877178727682414,1.0000000000000005e-09
85,0.004699771476381492,1.0000000000000005e-09
86,0.004269438931545924,1.0000000000000005e-09
87,0.004431697864233034,1.0000000000000005e-09
88,0.004028894288421725,1.0000000000000005e-09
89,0.005620125384718579,1.0000000000000005e-09
90,0.004485803821756105,1.0000000000000006e-10
91,0.004148853997841278,1.0000000000000006e-10
92,0.005108979856803282,1.0000000000000006e-10
93,0.00432624317950935,1.0000000000000006e-10
94,0.0057832376292416094,1.0000000000000006e-10
95,0.005545735866274169,1.0000000000000006e-10
96,0.005491370410995192,1.0000000000000006e-10
97,0.004962643351609586,1.0000000000000006e-10
98,0.006151340750927505,1.0000000000000006e-10
99,0.004957894613991292,1.0000000000000006e-10
